,word,occurrences,percentile,pinyin,definition,back
1273,减肥,4441,0.9946871310507674,jiǎnféi,to lose weight,<b>jiǎnféi</b><br/>to lose weight
3478,油,4432,0.9946765896441221,yóu,"oil<br/>fat<br/>grease<br/>petroleum<br/>to apply tung oil, paint or varnish<br/>oily<br/>greasy<br/>glib<br/>cunning","<b>yóu</b><br/>oil<br/>fat<br/>grease<br/>petroleum<br/>to apply tung oil, paint or varnish<br/>oily<br/>greasy<br/>glib<br/>cunning"
2374,疯,4404,0.9946660482374768,fēng,insane<br/>mad<br/>wild,<b>fēng</b><br/>insane<br/>mad<br/>wild
2342,班,4401,0.9946555068308315,bān,team<br/>class<br/>squad<br/>work shift<br/>ranking<br/>CL:個|个[ge4]<br/>classifier for groups,<b>bān</b><br/>team<br/>class<br/>squad<br/>work shift<br/>ranking<br/>CL:個|个[ge4]<br/>classifier for groups
730,早上,4399,0.9946449654241862,zǎoshàng,early morning<br/>CL:個|个[ge4],<b>zǎoshàng</b><br/>early morning<br/>CL:個|个[ge4]
1378,看着,4384,0.9946344240175409,kànzháo,,<b>kànzháo</b><br/>
1549,厉害,4358,0.9946238826108956,lìhài,difficult to deal with<br/>difficult to endure<br/>ferocious<br/>radical<br/>serious<br/>terrible<br/>violent<br/>tremendous<br/>awesome,<b>lìhài</b><br/>difficult to deal with<br/>difficult to endure<br/>ferocious<br/>radical<br/>serious<br/>terrible<br/>violent<br/>tremendous<br/>awesome
1227,太多,4348,0.9946133412042503,tàiduō,,<b>tàiduō</b><br/>
662,半,4340,0.994602799797605,bàn,half<br/>semi-<br/>incomplete<br/>(after a number) and a half,<b>bàn</b><br/>half<br/>semi-<br/>incomplete<br/>(after a number) and a half
1082,电影,4322,0.9945922583909597,diànyǐng,"movie<br/>film<br/>CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]","<b>diànyǐng</b><br/>movie<br/>film<br/>CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]"
879,位,4305,0.9945817169843144,wèi,position<br/>location<br/>place<br/>seat<br/>classifier for people (honorific)<br/>classifier for binary bits (e.g. 十六位 16-bit or 2 bytes),<b>wèi</b><br/>position<br/>location<br/>place<br/>seat<br/>classifier for people (honorific)<br/>classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)
2491,重要,4295,0.994571175577669,zhòngyào,important<br/>significant<br/>major,<b>zhòngyào</b><br/>important<br/>significant<br/>major
977,实在,4293,0.9945606341710238,shízài,really<br/>actually<br/>indeed<br/>true<br/>real<br/>honest<br/>dependable<br/>(philosophy) reality,<b>shízài</b><br/>really<br/>actually<br/>indeed<br/>true<br/>real<br/>honest<br/>dependable<br/>(philosophy) reality
2224,样子,4281,0.9945500927643784,yángzǐ,appearance<br/>manner<br/>pattern<br/>model,<b>yángzǐ</b><br/>appearance<br/>manner<br/>pattern<br/>model
2178,之前,4278,0.9945395513577332,zhīqián,before<br/>prior to<br/>ago<br/>previously<br/>beforehand,<b>zhīqián</b><br/>before<br/>prior to<br/>ago<br/>previously<br/>beforehand
178,那些,4269,0.9945290099510878,nàxiē,those,<b>nàxiē</b><br/>those
